title,stars,comment
"







  
    Buenísimo
  
  
",5.0 out of 5 stars,"









  
    
  Me encanta la sensacion que me da.. la frescura!!! Es riquisima

  
  
"
"







  
  
    Great!
  
",5.0 out of 5 stars,"









  
  
    
  I love this stuff!

  
"
"







  
    Super
  
  
",5.0 out of 5 stars,"









  
    
  Mai più senza !

  
  
"
"







  
    Lo amé (piel mixta a grasa)
  
  
",5.0 out of 5 stars,"









  
    
  Un limpiador que usé anteriormente me había dejado muy reseca la piel, algo enrojecida y se sentía tirante. El primer día que usé el agua termal sentí mi piel notablemente relajada, muy hidratada y me esta ayudando un poco con la rojez.La uso despues de mi doble limpieza y me deja la piel muy suave. No deja sensación pesada, te da un glow muy bonito sin llegar a ser grasoso

  
  
"
"







  
  
    Defective - 1/2 empty and no propellant
  
",2.0 out of 5 stars,"









  
  
    
  I have ordered this product several times and it was good. I guess I received a defective item because it will not spray although it is full of water. I can not find customer service contact.

  
"
"







  
    Súper fresco, ligero y maravilloso.
  
  
",5.0 out of 5 stars,"









  
    
  Súper fresco, ligero y maravilloso. Encantados con la compra.

  
  
"
"







  
    Ok ma...
  
  
",2.0 out of 5 stars,"









  
    
  Arrivata nei tempi indicati. L'ho testato poco per esprimere un parere ma mi sento di muovere una critica sul fatto che il prodotto arriva senza alcun sigillo di garanzia che ne garantiscano l'integrità né esternamente né sull'erogatore interno.

  
  
"
"







  
    Refrescante
  
  
",5.0 out of 5 stars,"









  
    
  Ya había probada un agua termal de la marca Avene y ahora quería probar otra y la verdad no me decepcionó, te ayuda a calmar la cara después de exponerla al sol o cuando sientes reseca la cara.Me encantoMe llegó un día antes de la fecha indicada

  
  
"
"







  
    Buon prodotto
  
  
",4.0 out of 5 stars,"









  
    
  Buona e delicata, indicata alle pelli più sensibili. Non posso dire sia idratante ma sicuramente dona freschezza ed aiuta a sfiammare qualche rossore. Ottima se utilizzata in combo o al posto del tonico.

  
  
"
"







  
    Excelente producto!
  
  
",5.0 out of 5 stars,"









  
    
  Mi agua termal favorita! Frescura e hidratación cuando más lo requiero. Llevo años usándolo. Lo recomiendo...

  
  
"
"







  
    Sin precintar!!!!!
  
  
",3.0 out of 5 stars,"









  
    
  El producto le conozco y va bien, pero viene sin precintar lo que me causa desconfianza. No lo volveré a comprar aquí por ese motivo

  
  
"
"







  
    Me lo han enviado de 300 gr dos veces
  
  
",1.0 out of 5 stars,"









  
    
  El producto es bueno, pongo una estrella solamente porque he realizado dos veces el pedido y dos veces lo he tenido que devolver pues me lo trajeron de 300 gr. cuando pone que es de 450 gr.No entiendo que cometan dos veces seguidas el mismo error.

  
  
"
"







  
  
    .
  
",5.0 out of 5 stars,"









  
  
    
  Perfect

  
"
"







  
    Prodotto consigliato!
  
  
",5.0 out of 5 stars,"









  
    
  È una garanzia questo prodotto!

  
  
"
"







  
    Ottimo prodotto
  
  
",5.0 out of 5 stars,"









  
    
  Ottimo prodotto,dona una sensazione immediata di freschezza, idrata e lenisce, distende. Spray veramente super.

  
  
"
"







  
    Ottima!
  
  
",5.0 out of 5 stars,"









  
    
  Comprata per avere una maggiore idratazione a seguito anche dell ultilizzo delle mascherine. La spruzzo prima di uscire dopo la skin care routine e trovo la mia pelle molto piu lumonisa, purificata e morbida. Non pensavo ma ho visto miglioramenti dopo un utilizzo costante.

  
  
"
"







  
    Da provare assolutamente!
  
  
",5.0 out of 5 stars,"









  
    
  Devo dire che è la prima volta che uso questo tipo di prodotto. Ho fatto varie ricerche e sono caduto proprio su marca. Ero scettico ma volevo comunque provare e credetemi per uno come me che ha sempre avuto una pelle molto secca e con rossori dovuti ai brufoli e acne questo mi ha cambiato decisamente. Lo stó usando da un paio di giorni e già mi sento subito la pelle migliorata. Ovviamente non pensate a miracoli immediati anche perchè ognuno ha una pelle diversa  ma dovrete aspettare che agisca col tempo.

  
  
"
"







  
  
    Smooth, Refreshing
  
",5.0 out of 5 stars,"









  
  
    
  I have been using it whether got sunburn or skin allergies. I really like its spray head that sprayed water is fine and soft.

  
"
"







  
  
    My skin status has been improved
  
",5.0 out of 5 stars,"









  
  
    
  I have oily skin and people say I need more water. I've tried this product for a while and indeed my skin became better. Better than expected!

  
"
